Ticker,Company,Date,Time,Quarter Ending, Market Cap 
MGYR,"Magyar Bancorp, Inc.",22-Jan-26,,Dec-25," 115,230,000 "
MIKN,Mikron Holding AG,22-Jan-26,,Dec-25," 440,260,000 "
MINDSPACE,Mindspace Business Parks REIT,22-Jan-26,,Dec-25," 3,298,900,000 "
MITTAL,Mittal Life Style Limited,20-Jan-26,,Dec-25," 4,940,000 "
MKC,"McCormick & Company, Incorporated",22-Jan-26,,Nov-25," 18,488,860,000 "
MMM,3M Company,20-Jan-26,Pre Market,Dec-25," 86,265,810,000 "
MMYT,MakeMyTrip Limited,21-Jan-26,Pre Market,Dec-25," 8,986,670,000 "
MOFG,"MidWestOne Financial Group, Inc.",22-Jan-26,,Dec-25," 848,630,000 "
MOG.A,Moog Inc.,23-Jan-26,,Dec-25," 8,468,980,000 "
MPB,"Mid Penn Bancorp, Inc.",21-Jan-26,,Dec-25," 719,110,000 "
MPSLTD,MPS Limited,21-Jan-26,,Dec-25," 370,450,000 "
MRBK,Meridian Corporation,23-Jan-26,,Dec-25," 210,880,000 "
MRP,"Millrose Properties, Inc.",22-Jan-26,,Dec-25," 5,277,250,000 "
MSBI,"Midland States Bancorp, Inc.",22-Jan-26,,Dec-25," 486,910,000 "
MYFW,"First Western Financial, Inc.",22-Jan-26,,Dec-25," 253,170,000 "
NAM-INDIA,Nippon Life India Asset Management Limited,21-Jan-26,,Dec-25," 6,369,610,000 "
NATHBIOGEN,Nath Bio-Genes (India) Limited,21-Jan-26,,Dec-25," 29,470,000 "
NBBK,"NB Bancorp, Inc.",22-Jan-26,,Dec-25," 748,850,000 "
NDTV,New Delhi Television Limited,23-Jan-26,,Dec-25," 124,770,000 "
NEWGEN,Newgen Software Technologies Limited,20-Jan-26,,Dec-25," 1,304,710,000 "
NFLX,"Netflix, Inc.",20-Jan-26,After Hours,Dec-25," 402,115,560,000 "
NG,NovaGold Resources Inc.,22-Jan-26,,Nov-25," 3,868,530,000 "
NIC,"Nicolet Bankshares, Inc.",20-Jan-26,,Dec-25," 1,800,440,000 "
NIITMTS,NIIT Learning Systems Limited,22-Jan-26,,Dec-25," 614,940,000 "
NKGN,"NKGen Biotech, Inc.",20-Jan-26,,Dec-25," 7,460,000 "
NKSH,"National Bankshares, Inc.",22-Jan-26,,Dec-25," 202,660,000 "
NPB,"Northpointe Bancshares, Inc.",20-Jan-26,After Hours,Dec-25," 625,030,000 "
NRIM,"Northrim BanCorp, Inc.",23-Jan-26,,Dec-25," 558,320,000 "
NTRS,Northern Trust Corporation,22-Jan-26,,Dec-25," 27,529,820,000 "
NUVAMA,Nuvama Wealth Management Limited,23-Jan-26,,Dec-25," 2,969,760,000 "
NVEC,NVE Corporation,21-Jan-26,After Hours,Dec-25," 368,210,000 "
NWFL,Norwood Financial Corp.,22-Jan-26,,Dec-25," 257,220,000 "
OCFC,OceanFirst Financial Corp.,22-Jan-26,,Dec-25," 1,155,740,000 "
OFED,Oconee Federal Financial Corp.,20-Jan-26,,Dec-25," 85,890,000 "
OFG,OFG Bancorp,22-Jan-26,,Dec-25," 1,827,660,000 "
ONB,Old National Bancorp,21-Jan-26,Pre Market,Dec-25," 8,691,340,000 "
ONE,01 Quantum Inc.,22-Jan-26,,Oct-25," 56,940,000 "
OPBK,OP Bancorp,22-Jan-26,,Dec-25," 207,260,000 "
ORES,Investment AB Öresund (publ),22-Jan-26,,Dec-25," 536,630,000 "
ORI,Old Republic International Corporation,22-Jan-26,,Dec-25," 10,551,790,000 "
ORIENTCEM,Orient Cement Limited,22-Jan-26,,Dec-25," 399,650,000 "
ORIENTELEC,Orient Electric Limited,22-Jan-26,,Dec-25," 415,360,000 "
OSBC,"Old Second Bancorp, Inc.",21-Jan-26,After Hours,Dec-25," 1,080,250,000 "
OVLY,Oak Valley Bancorp,23-Jan-26,,Dec-25," 251,220,000 "
OZK,Bank OZK,20-Jan-26,After Hours,Dec-25," 5,066,020,000 "
P40U,Starhill Global Real Estate Investment Trust,21-Jan-26,,Dec-25," 1,071,230,000 "
PANTECH,Pantech Group Holdings Berhad,22-Jan-26,,Dec-25," 125,530,000 "
PAPL,Pineapple Financial Inc.,20-Jan-26,,Nov-25," 1,800,000 "
PARAS,Paras Defence and Space Technologies Limited,23-Jan-26,,Dec-25," 629,320,000 "
PBCO,PBCO Financial Corporation,22-Jan-26,,Dec-25," 90,790,000 "
PCLB,"Pinnacle Bancshares, Inc.",22-Jan-26,,Dec-25," 30,090,000 "
PERSISTENT,Persistent Systems Limited,20-Jan-26,,Dec-25," 8,521,340,000 "
PET,Phoslock Environmental Technologies Limited,21-Jan-26,,Dec-25," 7,700,000 "
PFBC,Preferred Bank,22-Jan-26,,Dec-25," 1,236,100,000 "
PFFC,Peoples Financial Corporation,21-Jan-26,,Dec-25," 15,010,000 "
PG,The Procter & Gamble Company,22-Jan-26,,Dec-25," 337,728,100,000 "
PILITA,Pil Italica Lifestyle Limited,21-Jan-26,,Dec-25," 25,460,000 "
PKBK,"Parke Bancorp, Inc.",22-Jan-26,,Dec-25," 287,570,000 "
PLBC,Plumas Bancorp,21-Jan-26,,Dec-25," 346,700,000 "
PLD,"Prologis, Inc.",21-Jan-26,Pre Market,Dec-25," 118,105,440,000 "
PNBHOUSING,PNB Housing Finance Limited,21-Jan-26,,Dec-25," 2,715,510,000 "
PNFP,"Pinnacle Financial Partners, Inc.",21-Jan-26,After Hours,Dec-25," 7,457,280,000 "
PRE,Pensana Plc,21-Jan-26,,Dec-25," 399,030,000 "
PREMIERENE,Premier Energies Limited,22-Jan-26,,Dec-25," 5,439,970,000 "
PRGS,Progress Software Corporation,20-Jan-26,After Hours,Nov-25," 1,807,700,000 "
PVBC,"Provident Bancorp, Inc.",22-Jan-26,,Dec-25," 213,210,000 "
QFLS,"Qatar Fuel Company Q.P.S.C. (WOQOD"")""",21-Jan-26,,Dec-25," 4,059,300,000 "
QGTS,Qatar Gas Transport Company Limited (Nakilat) (QPSC),20-Jan-26,,Dec-25," 7,110,040,000 "
