Ticker,Company,Date,Time,Quarter Ending,Market Cap
2014,Chung Hung Steel Corporation,23-Feb-26,,Dec-25,754370000
MAX,"MediaAlpha, Inc.",23-Feb-26,After Hours,Dec-25,739290000
TAKAFUL,Syarikat Takaful Malaysia Keluarga Berhad,23-Feb-26,,Dec-25,738880000
SIBN,"SI-BONE, Inc.",23-Feb-26,After Hours,Dec-25,728970000
2820,China Bills Finance Corporation,23-Feb-26,,Dec-25,724890000
RPGH.F,RPMGlobal Holdings Limited,23-Feb-26,,Dec-25,724280000
OCI,OCI N.V.,23-Feb-26,,Dec-25,722290000
KOSSAN,Kossan Rubber Industries Bhd,23-Feb-26,,Dec-25,686050000
HOV,"Hovnanian Enterprises, Inc.",23-Feb-26,,Jan-26,682500000
PENTA,Pentamaster Corporation Berhad,23-Feb-26,,Dec-25,652710000
5530,Lungyen Life Service Corporation,23-Feb-26,,Dec-25,648620000
3014,ITE Tech. Inc,23-Feb-26,,Dec-25,642480000
BFIN,PT BFI Finance Indonesia Tbk,23-Feb-26,,Dec-25,642250000
9802,"Fulgent Sun International (Holding) Co., Ltd.",23-Feb-26,,Dec-25,639860000
EA,Energy Absolute Public Company Limited,23-Feb-26,,Dec-25,637880000
HSTM,"HealthStream, Inc.",23-Feb-26,After Hours,Dec-25,634600000
2402,"Ichia Technologies, Inc.",23-Feb-26,,Dec-25,628530000
MI,Mi Technovation Berhad,23-Feb-26,,Dec-25,626170000
P52,Pan-United Corporation Ltd,23-Feb-26,,Dec-25,625720000
CKP,CK Power Public Company Limited,23-Feb-26,,Dec-25,623330000
CIN,Carlton Investments Ltd.,23-Feb-26,,Dec-25,619750000
HSTR,Heliostar Metals Ltd.,23-Feb-26,,Dec-25,599050000
VASTB,Vastned,23-Feb-26,,Dec-25,586180000
4961,Fitipower Integrated Technology Inc.,23-Feb-26,,Dec-25,585050000
SOAG,SpareBank 1 Østfold Akershus,23-Feb-26,,Dec-25,547780000
MYGN,"Myriad Genetics, Inc.",23-Feb-26,After Hours,Dec-25,547160000
CHG,Chularat Hospital Public Company Limited,23-Feb-26,,Dec-25,546160000
M,MK Restaurant Group Public Company Limited,23-Feb-26,,Dec-25,542370000
CCL,Cuscal Limited,23-Feb-26,,Dec-25,529610000
29M,29Metals Limited,23-Feb-26,,Dec-25,522600000
CPHN,CPH Group AG,23-Feb-26,,Dec-25,521390000
DLADY,Dutch Lady Milk Industries Berhad,23-Feb-26,,Dec-25,517230000
3673,"TPK Holding Co., Ltd.",23-Feb-26,,Dec-25,517200000
THG,Thonburi Healthcare Group Public Company Limited,23-Feb-26,,Dec-25,514530000
KONYA,Konya Çimento Sanayii Anonim Sirketi,23-Feb-26,,Dec-25,512810000
WHAUP,WHA Utilities and Power Public Company Limited,23-Feb-26,,Dec-25,508600000
